normalize_supplier_name,invoice_description,CategoryLevel1,CategoryLevel2,CategoryLevel3,CategoryLevel4,Cluster
ADYEN NV OFICINA DE REPRESENTACION EN ESPAÑA,ADYEN NV OFICINA DE REPRESENTACION EN ESPAÑA,,,,,80
AE SOLUTIONS,AE SOLUTIONS,,,,,56
AEGON,AEGON,,,,,3
AFAN DURGOTOVIC HANNOVER,AFAN DURGOTOVIC HANNOVER,,,,,3
AFJ LEVEILLE,AFJ LEVEILLE,,,,,3
AG EXPERTS SRO REPUBLICA CHECA,AG EXPERTS SRO REPUBLICA CHECA,,,,,3
AGC AUTOMOTIVE EUROPE SA DD POLAND,AGC AUTOMOTIVE EUROPE SA DD POLAND,,,,,47
AGENCE 52 K,AGENCE 52 K,,,,,3
AGGLO LE PUY EN VELAY,AGGLO LE PUY EN VELAY,,,,,100
AGGLOENVIRONNEMENT,AGGLOENVIRONNEMENT,,,,,3
AGLAS AUTORUITSCHADE ROELOFS ZELHEM,AGLAS AUTORUITSCHADE ROELOFS ZELHEM,,,,,3
AGRIVIS SOCIETA COOPERATIVA SOCIALE AGRICOLA,AGRIVIS SOCIETA COOPERATIVA SOCIALE AGRICOLA,,,,,3
AGSD PUBLICITE,AGSD PUBLICITE,,,,,3
AGTEC,AGTEC,,,,,3
AGUAS Y SANEAMIENTOS DE TORREMOLINOS SA,AGUAS Y SANEAMIENTOS DE TORREMOLINOS SA,,,,,32
AGUERA SEGURA SOFIA,AGUERA SEGURA SOFIA,,,,,3
AH GERNSHEIM GMBH,AH GERNSHEIM GMBH,,,,,2
AH HANS LOFI RENAULT IDAROBERSTEIN,AH HANS LOFI RENAULT IDAROBERSTEIN,,,,,3
AH KIRSCHWEILER GMBH,AH KIRSCHWEILER GMBH,,,,,2
AHG AUTOHANDELSGESELLSCHAFT MBH GP,AHG AUTOHANDELSGESELLSCHAFT MBH GP,,,,,3
AHLERSMEYER GBR KFZMEISTERBETRIEB,AHLERSMEYER GBR KFZMEISTERBETRIEB,,,,,91
AHMAD ALKALLAS RENDSBURG,AHMAD ALKALLAS RENDSBURG,,,,,3
AHMED METWALLI BERLIN,AHMED METWALLI BERLIN,,,,,39
AHS LACKIEREREI MEISTERBETRIEB MANNHEIM,AHS LACKIEREREI MEISTERBETRIEB MANNHEIM,,,,,3
AIRDRIE CHRYSLER DODGE JEEP,AIRDRIE CHRYSLER DODGE JEEP,,,,,3
AIRDRIE COURIER,AIRDRIE COURIER,,,,,3
AIVAR GRIMM BERGHEIM,AIVAR GRIMM BERGHEIM,,,,,3
AKGASTRO GMBH & CO KG PFORZHEIM,AKGASTRO GMBH & CO KG PFORZHEIM,,,,,31
AKTIV1 AUTOAUFBEREITUNG HANNOVER,AKTIV1 AUTOAUFBEREITUNG HANNOVER,,,,,3
AKZEPTA INKASSO GMBH MÜNCHEN,AKZEPTA INKASSO GMBH MÜNCHEN,,,,,44
ALAA SHAKIR MOHSIN MÜNCHEN,ALAA SHAKIR MOHSIN MÜNCHEN,,,,,44
ALAPE TALLERES SL,ALAPE TALLERES SL,,,,,34
ALARD MADAME PAULINE,ALARD MADAME PAULINE,,,,,30
ALBIN JARDINS,ALBIN JARDINS,,,,,3
ALBIN KEVIC,ALBIN KEVIC,,,,,3
ALDEN BIESEN,ALDEN BIESEN,,,,,3
ALEKSANDAR DORDEVIC HEIDELBERG,ALEKSANDAR DORDEVIC HEIDELBERG,,,,,3
ALEMANNENHOF SCHALLSTADTMENGEN,ALEMANNENHOF SCHALLSTADTMENGEN,,,,,3
ALESSANDRO DANI DÜSSELDORF,ALESSANDRO DANI DÜSSELDORF,,,,,40
ALEX KAAL RITTERHUDE,ALEX KAAL RITTERHUDE,,,,,3
ALEXANDER LÜDTKE ASCHAU AM INN,ALEXANDER LÜDTKE ASCHAU AM INN,,,,,3
ALEXANDER SPERLING MARKRANSTÄDT,ALEXANDER SPERLING MARKRANSTÄDT,,,,,3
ALEXANDER SUDAHL MEDIENPRODUKTION,ALEXANDER SUDAHL MEDIENPRODUKTION,,,,,3
ALEXANDER WEIRICH STEINBERGKIRCHE,ALEXANDER WEIRICH STEINBERGKIRCHE,,,,,3
ALEXANDRA UND ULRICH MÄNDLE NIEDERSCHÖNENFELD,ALEXANDRA UND ULRICH MÄNDLE NIEDERSCHÖNENFELD,,,,,23
ALEXEJ FRANK VILLINGEN,ALEXEJ FRANK VILLINGEN,,,,,3
ALEXEJ LALAIKINE BOCHUM,ALEXEJ LALAIKINE BOCHUM,,,,,97
ALFAHOTEL GMBH STINGBERTSENGSCHEID,ALFAHOTEL GMBH STINGBERTSENGSCHEID,,,,,13
ALFRED DEDERICHS VETTWEISS,ALFRED DEDERICHS VETTWEISS,,,,,3
ALIFE BV,ALIFE BV,,,,,17
ALIMENTARI FORNERIA FIORINI MARIA,ALIMENTARI FORNERIA FIORINI MARIA,,,,,54
ALLAN MICHAEL THOMAS,ALLAN MICHAEL THOMAS,,,,,77
ALLIANCE PAYSAGES,ALLIANCE PAYSAGES,,,,,3
ALMA SHALA MÜLLHEIM DORF,ALMA SHALA MÜLLHEIM DORF,,,,,3
ALMA VOLKSWAGEN,ALMA VOLKSWAGEN,,,,,3
ALMACENES SOFIMAR SL,ALMACENES SOFIMAR SL,,,,,9
ALMEIDA KATHERINE,ALMEIDA KATHERINE,,,,,3
ALMERIMAR SA,ALMERIMAR SA,,,,,32
ALONSO LOPEZ MARIA DEL CARMEN,ALONSO LOPEZ MARIA DEL CARMEN,,,,,54
ALONSO MANRIQUE JOSE,ALONSO MANRIQUE JOSE,,,,,71
ALPHA PNEUS SARL,ALPHA PNEUS SARL,,,,,49
ALPO ALPOGROS BV,ALPO ALPOGROS BV,,,,,17
ALPSALPINE EUROPE GMBH,ALPSALPINE EUROPE GMBH,,,,,13
ALQUICAR RENTING E SL,ALQUICAR RENTING E SL,,,,,9
ALQUILER DE FURGONETAS Y TURISMOS PAQUITO SLU,ALQUILER DE FURGONETAS Y TURISMOS PAQUITO SLU,,,,,63
ALRO CATERING SL,ALRO CATERING SL,,,,,9
ALSACE BABY FOOT,ALSACE BABY FOOT,,,,,3
ALT HOTEL TORONTO AIRPORT,ALT HOTEL TORONTO AIRPORT,,,,,58
ALTA ALELLA SL,ALTA ALELLA SL,,,,,9
ALTA VOCE,ALTA VOCE,,,,,3
ALTE BERGMÜHLE RESTAURATIONS GMNH DREIEICH,ALTE BERGMÜHLE RESTAURATIONS GMNH DREIEICH,,,,,3
ALTEC INDUSTRIAL IDENTIFICATION,ALTEC INDUSTRIAL IDENTIFICATION,,,,,3
ALTEIRAC INVEST,ALTEIRAC INVEST,,,,,3
ALTEN SIR,ALTEN SIR,,,,,3
ALTMANN PACREAU,ALTMANN PACREAU,,,,,3
ALTRUM,ALTRUM,,,,,3
ALTSTADT HOTEL RHEINE,ALTSTADT HOTEL RHEINE,,,,,58
ALTUNA AUTOAK SL,ALTUNA AUTOAK SL,,,,,9
ALTURISMOCONCEPT,ALTURISMOCONCEPT,,,,,3
ALVAREZ DE LA LAMA MARIA TERESA,ALVAREZ DE LA LAMA MARIA TERESA,,,,,54
ALVES OLIVEIRA MONSIEUR TIAGO FILIPE,ALVES OLIVEIRA MONSIEUR TIAGO FILIPE,,,,,14
ALWIN THIELE WEGBERG,ALWIN THIELE WEGBERG,,,,,3
AMAR BAHTO NEUMÜNSTER,AMAR BAHTO NEUMÜNSTER,,,,,3
AMAR SALKIC,AMAR SALKIC,,,,,3
AMARAL LOPES MONSIEUR VINCENT,AMARAL LOPES MONSIEUR VINCENT,,,,,14
AMBIANCE GRAPHIQUE,AMBIANCE GRAPHIQUE,,,,,3
AMD GLAS UND GEBÄUDEMANAGEMENT GMBH HAMBURG,AMD GLAS UND GEBÄUDEMANAGEMENT GMBH HAMBURG,,,,,36
AMENNA MONSIEUR THOMAS,AMENNA MONSIEUR THOMAS,,,,,24
AMER HERIC,AMER HERIC,,,,,3
AMERON BONN HOTEL KÖNIGSHOF,AMERON BONN HOTEL KÖNIGSHOF,,,,,58
AMJCLASSICS P&R SL,AMJCLASSICS P&R SL,,,,,9
AMMARI MONSIEUR FOUAD,AMMARI MONSIEUR FOUAD,,,,,14
AMOK,AMOK,,,,,3
AMPLITUDE AUTOMOBILES,AMPLITUDE AUTOMOBILES,,,,,3
AMTSGERICHT DESSAUROSSLAU,AMTSGERICHT DESSAUROSSLAU,,,,,3
AMTSGERICHT GIFHORN GIFHORN,AMTSGERICHT GIFHORN GIFHORN,,,,,3
AMTSGERICHT OSTERHOLZSCHARMBECK,AMTSGERICHT OSTERHOLZSCHARMBECK,,,,,3
ANADAMBUR SA,ANADAMBUR SA,,,,,32
ANCADELI SRL,ANCADELI SRL,,,,,19
ANCHORED IN,ANCHORED IN,,,,,3
ANCRI SA,ANCRI SA,,,,,32
ANDANTE GMBH KASSEL,ANDANTE GMBH KASSEL,,,,,13
ANDANTE HOTEL DRESDEN,ANDANTE HOTEL DRESDEN,,,,,7
ANDELKA MARTICHAMBURG,ANDELKA MARTICHAMBURG,,,,,3
ANDRADE MADAME EMMA,ANDRADE MADAME EMMA,,,,,30
ANDRE MONSIEUR CAMILLE,ANDRE MONSIEUR CAMILLE,,,,,14
ANDRÉ VONDERSTEIN,ANDRÉ VONDERSTEIN,,,,,3
ANDREA KUTZER DESSAU,ANDREA KUTZER DESSAU,,,,,3
ANDREA VILALLONGA SLU,ANDREA VILALLONGA SLU,,,,,63
ANDREAS BENDER WERTHEIM,ANDREAS BENDER WERTHEIM,,,,,5
ANDREAS DÖPPLER GROSSENLÜDER,ANDREAS DÖPPLER GROSSENLÜDER,,,,,5
ANDREAS DÜCK ZACHENBERG,ANDREAS DÜCK ZACHENBERG,,,,,5
ANDREAS HEINRICH TIRPERSDORF,ANDREAS HEINRICH TIRPERSDORF,,,,,5
ANDREAS JANATA GÖPPINGEN,ANDREAS JANATA GÖPPINGEN,,,,,5
ANDREAS KIRSCHNER PARSDORF,ANDREAS KIRSCHNER PARSDORF,,,,,5
ANDREAS TREICHEL OLCHING,ANDREAS TREICHEL OLCHING,,,,,5
ANDRES DAMIEN,ANDRES DAMIEN,,,,,3
ANDREY ZVONOV MÜNCHEN,ANDREY ZVONOV MÜNCHEN,,,,,44
ANGELA MATIJEVIC ALSDORF,ANGELA MATIJEVIC ALSDORF,,,,,3
ANGELA WITT STOLBERG RHLD,ANGELA WITT STOLBERG RHLD,,,,,3
ANGELIKA CONDITDANNEMANN RASTEDE,ANGELIKA CONDITDANNEMANN RASTEDE,,,,,3
ANGELIKA RENNER SÜLZETAL,ANGELIKA RENNER SÜLZETAL,,,,,3
ANGELIKA ROSENKRANZ TEMPLIN,ANGELIKA ROSENKRANZ TEMPLIN,,,,,3
ANGELIQUE MAURICE,ANGELIQUE MAURICE,,,,,3
ANGELUS,ANGELUS,,,,,3
ANGLETERRE HOTEL GMBH & CO KG BERLIN,ANGLETERRE HOTEL GMBH & CO KG BERLIN,,,,,31
ANJA ESCHWEILER DORMAGEN,ANJA ESCHWEILER DORMAGEN,,,,,3
ANJA HILPERT ARNSTADT,ANJA HILPERT ARNSTADT,,,,,3
ANJA KONRAD BIEDERITZ,ANJA KONRAD BIEDERITZ,,,,,3
ANJA LIEBETRURH TRAPPENKAMP,ANJA LIEBETRURH TRAPPENKAMP,,,,,3
ANKE PAVLICEK RÖDERMARK,ANKE PAVLICEK RÖDERMARK,,,,,3
ANKERPLATZ HOTEL WILHELMSHAVEN,ANKERPLATZ HOTEL WILHELMSHAVEN,,,,,58
ANNA KRZYZANOWSKA ECHING,ANNA KRZYZANOWSKA ECHING,,,,,3
ANNA THOMAS ALBSTADT,ANNA THOMAS ALBSTADT,,,,,24
ANNAMARIA SCHILLING HENNEF,ANNAMARIA SCHILLING HENNEF,,,,,3
ANNEMARIA FRITZ AUGSBURG,ANNEMARIA FRITZ AUGSBURG,,,,,3
ANNESOPHIE RICHARD,ANNESOPHIE RICHARD,,,,,3
ANNICK LUYTEN,ANNICK LUYTEN,,,,,3
ANNIKA JOHST OTTOBRUNN,ANNIKA JOHST OTTOBRUNN,,,,,3
ANNIKA MAISON SCHARNEBECK,ANNIKA MAISON SCHARNEBECK,,,,,3
ANTON MONTEJO JON,ANTON MONTEJO JON,,,,,3
ANTWERP MANAGEMENT SCHOOL,ANTWERP MANAGEMENT SCHOOL,,,,,43
ANWALTSKANZLEI SCHULENBERG & SIMON,ANWALTSKANZLEI SCHULENBERG & SIMON,,,,,1
AOSOM ITALY SRL,AOSOM ITALY SRL,,,,,19
APART HOTEL GERA,APART HOTEL GERA,,,,,58
APART HOTEL SEHNDE,APART HOTEL SEHNDE,,,,,58
APART W,APART W,,,,,3
APL MEDIA LIMITED,APL MEDIA LIMITED,,,,,51
APPARTHOTELGARNI ROSSDORF,APPARTHOTELGARNI ROSSDORF,,,,,3
APPCONTROL VZW,APPCONTROL VZW,,,,,3
APPLEWOOD MITSUBISHI,APPLEWOOD MITSUBISHI,,,,,3
APPLIED TECHNOLOGIES INTERNET,APPLIED TECHNOLOGIES INTERNET,,,,,3
APRIORI BUSINESS SOLUTIONS GMBH ASCHAFFENBURG,APRIORI BUSINESS SOLUTIONS GMBH ASCHAFFENBURG,,,,,56
APW LEHMANN AUTOMOBILE CHRYSLER HAMBURG,APW LEHMANN AUTOMOBILE CHRYSLER HAMBURG,,,,,36
AQUARELLE,AQUARELLE,,,,,3
ARBER CUNAKU ULM,ARBER CUNAKU ULM,,,,,3
ARBITRADE CENTRO SA,ARBITRADE CENTRO SA,,,,,32
ARCHIMEDE SERVIZI SRL,ARCHIMEDE SERVIZI SRL,,,,,19
ARENA,ARENA,,,,,3
ARHIS PEOPLE SOLUTIONS SARL,ARHIS PEOPLE SOLUTIONS SARL,,,,,56
ARIANE PITTHAN HERZOGENRATH,ARIANE PITTHAN HERZOGENRATH,,,,,3
ARIAS REGUEIRA Mª JOSE,ARIAS REGUEIRA Mª JOSE,,,,,71
ARIF MONSIEUR SMAIN,ARIF MONSIEUR SMAIN,,,,,14
ARJAN SMITS MONTAGE,ARJAN SMITS MONTAGE,,,,,3
ARMELLE,ARMELLE,,,,,3
ARNE DAHLHAUS ZORNEDING,ARNE DAHLHAUS ZORNEDING,,,,,3
ART&IMAGE DI BOSELLI E BASSI SNC,ART&IMAGE DI BOSELLI E BASSI SNC,,,,,57
ARTAN CEKA GERETSRIED,ARTAN CEKA GERETSRIED,,,,,3
ARTHOTEL ANA NAUTIC BREMERHAVEN,ARTHOTEL ANA NAUTIC BREMERHAVEN,,,,,3
ARTOI LE ROI SL,ARTOI LE ROI SL,,,,,100
ARTOIS FROID ENERGIES,ARTOIS FROID ENERGIES,,,,,3
ARTON MEMA MÜNSTER,ARTON MEMA MÜNSTER,,,,,3
ARVENA MESSE HOTEL AN DER NÜRNBERG MESSE GMBH & CO KG,ARVENA MESSE HOTEL AN DER NÜRNBERG MESSE GMBH & CO KG,,,,,31
ARVENA PARK,ARVENA PARK,,,,,3
ASD VIGEVANO CALCIO,ASD VIGEVANO CALCIO,,,,,3
ASIA SRL AGENZIA UNICA RES,ASIA SRL AGENZIA UNICA RES,,,,,19
ASKOM DESSAU GMBH DESSAUROSLAU,ASKOM DESSAU GMBH DESSAUROSLAU,,,,,13
ASN AUTOSCHADE SCHADEPARTNERS WESTLAND,ASN AUTOSCHADE SCHADEPARTNERS WESTLAND,,,,,98
ASOCIACION DE AUDITORES Y AUDITORIA Y CONTROL DE SISTEMAS Y TECNOLOGIAS DE LA INFORMACION Y LAS,ASOCIACION DE AUDITORES Y AUDITORIA Y CONTROL DE SISTEMAS Y TECNOLOGIAS DE LA INFORMACION Y LAS,,,,,3
ASSO AEVE,ASSO AEVE,,,,,3
ASSO MONSIEUR CHRISTOPHE,ASSO MONSIEUR CHRISTOPHE,,,,,14
ASSO MONSIEUR CHRISTOPHE,ASSO MONSIEUR CHRISTOPHE,,,,,14
ASSO MONSIEUR CHRISTOPHE,ASSO MONSIEUR CHRISTOPHE,,,,,14
ASSO MONSIEUR CHRISTOPHE,ASSO MONSIEUR CHRISTOPHE,,,,,14
ASSO MONSIEUR CHRISTOPHE,ASSO MONSIEUR CHRISTOPHE,,,,,14
ASSOCIAZIONE ART VOICE ACADEMY,ASSOCIAZIONE ART VOICE ACADEMY,,,,,3
ASTEO EAU TOULOUSE METROPOLE,ASTEO EAU TOULOUSE METROPOLE,,,,,3
ASTRADA,ASTRADA,,,,,3
ASTRO TOWING,ASTRO TOWING,,,,,3
ASTURIAS PERZ RUMBAO SL,ASTURIAS PERZ RUMBAO SL,,,,,9
ATELIER DG,ATELIER DG,,,,,3
ATIF CAUCHOIS MONSIEUR ANIS,ATIF CAUCHOIS MONSIEUR ANIS,,,,,14
ATILLA SENYUVA BERLIN,ATILLA SENYUVA BERLIN,,,,,39
ATK SOLUTION GMBH,ATK SOLUTION GMBH,,,,,13
ATLANTIC HOTEL MÜNSTER,ATLANTIC HOTEL MÜNSTER,,,,,58
ATRACTIV,ATRACTIV,,,,,3
AU COEUR DU MOULINET,AU COEUR DU MOULINET,,,,,90
AUDATEX ESPAÑA SA SOLERA,AUDATEX ESPAÑA SA SOLERA,,,,,32
AUDI KITCHENERWATERLOO,AUDI KITCHENERWATERLOO,,,,,3
AUDI TROISRIVIERES,AUDI TROISRIVIERES,,,,,3
AUGUST RUDERSDORF & SÖHNE GMBH & CO KG DÜSSELDORF,AUGUST RUDERSDORF & SÖHNE GMBH & CO KG DÜSSELDORF,,,,,40
AUOLACKIERCENTER BAD KREUZNACH,AUOLACKIERCENTER BAD KREUZNACH,,,,,26
AURACAR SHIMA SL,AURACAR SHIMA SL,,,,,9
AURRELAN SL,AURRELAN SL,,,,,9
AUTO,AUTO,,,,,12
AUTO CONEN GMBH HEINSBERG FIAT ALFA,AUTO CONEN GMBH HEINSBERG FIAT ALFA,,,,,62
AUTO DETAIL DEPOT,AUTO DETAIL DEPOT,,,,,12
AUTO ELECTAR SLL,AUTO ELECTAR SLL,,,,,12
AUTO ELECTRIC MOLET SL,AUTO ELECTRIC MOLET SL,,,,,27
AUTO FRANK ITTERSDORF,AUTO FRANK ITTERSDORF,,,,,12
AUTO GRILL GMBH & CO KG EBERSBERG,AUTO GRILL GMBH & CO KG EBERSBERG,,,,,31
AUTO GRUAS ORIENTE SL,AUTO GRUAS ORIENTE SL,,,,,12
AUTO HIFI BADAYA SC,AUTO HIFI BADAYA SC,,,,,12
AUTO JETTEN CUIJK BV,AUTO JETTEN CUIJK BV,,,,,12
AUTO JOYCA SA,AUTO JOYCA SA,,,,,32
AUTO KK ZAPFFE HEIDELBERG,AUTO KK ZAPFFE HEIDELBERG,,,,,12
AUTO MAHIA BERTAMIRANS SL,AUTO MAHIA BERTAMIRANS SL,,,,,12
AUTO PRECISION,AUTO PRECISION,,,,,12
AUTO RECAMBIOS RUIZ SL,AUTO RECAMBIOS RUIZ SL,,,,,12
AUTO SANCHO SL,AUTO SANCHO SL,,,,,12
AUTO SCHARNAGL GMBH,AUTO SCHARNAGL GMBH,,,,,62
AUTO SCHMITT FLÖRSHEIM GMBH,AUTO SCHMITT FLÖRSHEIM GMBH,,,,,62
AUTO STEFAN SCHEER FREIAMT,AUTO STEFAN SCHEER FREIAMT,,,,,93
AUTO TALLER LA PLANA SL,AUTO TALLER LA PLANA SL,,,,,12
AUTO THOMAS GMBH BAD HONNEF,AUTO THOMAS GMBH BAD HONNEF,,,,,26
AUTO THURN GMBH,AUTO THURN GMBH,,,,,62
AUTO VIGATANA SL,AUTO VIGATANA SL,,,,,12
AUTO WORMSER GMBH BMW,AUTO WORMSER GMBH BMW,,,,,62
AUTOAUFBEREITUNG BREMEN,AUTOAUFBEREITUNG BREMEN,,,,,3
AUTOBAFER SLU,AUTOBAFER SLU,,,,,63
AUTOBEDRIJF BOTMAN ZWAAG BV,AUTOBEDRIJF BOTMAN ZWAAG BV,,,,,74
AUTOBEDRIJF CURVERS,AUTOBEDRIJF CURVERS,,,,,74
AUTOBEDRIJF DE PALMPOL,AUTOBEDRIJF DE PALMPOL,,,,,74
AUTOBEDRIJF HOPMANS BV,AUTOBEDRIJF HOPMANS BV,,,,,74
AUTOBEDRIJF ROGER COOLS NV,AUTOBEDRIJF ROGER COOLS NV,,,,,74
AUTOBEDRIJF VERHULST BV,AUTOBEDRIJF VERHULST BV,,,,,74
AUTOBEDRIJF WILLEMS,AUTOBEDRIJF WILLEMS,,,,,74
AUTOCARE BV,AUTOCARE BV,,,,,17
AUTOCENTER BENZ GMBH LAUPHEIM,AUTOCENTER BENZ GMBH LAUPHEIM,,,,,13
AUTOCENTER SÜD GMBH NEURUPPIN,AUTOCENTER SÜD GMBH NEURUPPIN,,,,,13
AUTOCENTRUM HOFFMANN GMBH PÖSSNECK,AUTOCENTRUM HOFFMANN GMBH PÖSSNECK,,,,,13
AUTOCENTRUM VAN VLIET,AUTOCENTRUM VAN VLIET,,,,,73
AUTOCHAPISUR SL,AUTOCHAPISUR SL,,,,,9
AUTODESGUACES ELCHE SL,AUTODESGUACES ELCHE SL,,,,,9
AUTOEXPERT,AUTOEXPERT,,,,,3
AUTOFIT BARTELS GMBH MÖNCHENGLADBACH,AUTOFIT BARTELS GMBH MÖNCHENGLADBACH,,,,,13
AUTOFORUM SCHMACK GMBH PLAUEN,AUTOFORUM SCHMACK GMBH PLAUEN,,,,,13
AUTOGANDARA SL,AUTOGANDARA SL,,,,,9
AUTOGLAS SERVICEPOINT GMBH,AUTOGLAS SERVICEPOINT GMBH,,,,,13
AUTOGLASS IRELAND HOLDING,AUTOGLASS IRELAND HOLDING,,,,,3
AUTOGLASS IRELAND HOLDING,AUTOGLASS IRELAND HOLDING,,,,,3
AUTOGLASS IRELAND HOLDING,AUTOGLASS IRELAND HOLDING,,,,,3
AUTOHAUS ALBERTSMEYER GMBH & CO KG,AUTOHAUS ALBERTSMEYER GMBH & CO KG,,,,,31
AUTOHAUS AM EICHBERG GMBH,AUTOHAUS AM EICHBERG GMBH,,,,,48
AUTOHAUS ANDREAS SCHALL GMBH DORNSTADT,AUTOHAUS ANDREAS SCHALL GMBH DORNSTADT,,,,,5
AUTOHAUS B&S GMBH BAD ZWISCHENAHN,AUTOHAUS B&S GMBH BAD ZWISCHENAHN,,,,,26
AUTOHAUS BAUER OTTOBRUNN GMBH,AUTOHAUS BAUER OTTOBRUNN GMBH,,,,,48
AUTOHAUS BÖWING GMBH SCHERMBECK,AUTOHAUS BÖWING GMBH SCHERMBECK,,,,,48
AUTOHAUS BRAUNSCHWEIG GMBH,AUTOHAUS BRAUNSCHWEIG GMBH,,,,,10
AUTOHAUS BRÖMMLER GMBH NISSAN,AUTOHAUS BRÖMMLER GMBH NISSAN,,,,,48
AUTOHAUS CLASSIC GMBH BENSHEIM,AUTOHAUS CLASSIC GMBH BENSHEIM,,,,,48
AUTOHAUS DIETER HOMMEL EK SUHL,AUTOHAUS DIETER HOMMEL EK SUHL,,,,,22
AUTOHAUS DIRK REMER AUDORF,AUTOHAUS DIRK REMER AUDORF,,,,,22
AUTOHAUS DRESCHER GMBH TEMPLIN,AUTOHAUS DRESCHER GMBH TEMPLIN,,,,,48
AUTOHAUS DRESEL HÖCHSTADT,AUTOHAUS DRESEL HÖCHSTADT,,,,,22
